,u,v,w,x,x bin,y,y bin,z,z bin
0,10.2234955,0.42720794700000003,0.036768548,0.098967537,9.0,-0.12001998,-13.0,0.0065361559999999996,0.0
1,10.2459984,0.399197429,0.043014687,0.0954668,9.0,-0.123139732,-13.0,0.000131278,0.0
2,10.2649632,0.413752764,0.035300702,0.092270829,9.0,-0.123897113,-13.0,0.007145763,0.0
3,10.2632866,0.405811071,0.035455521000000004,0.093117587,9.0,-0.124673411,-13.0,0.007847721,0.0
4,10.2501926,0.40666008,0.03727524,0.095308572,9.0,-0.123888724,-13.0,0.0053321209999999996,0.0
5,10.2349815,0.382189095,0.037635695,0.09992826,9.0,-0.126010448,-13.0,0.0075444230000000015,0.0
6,10.2403431,0.38304877299999995,0.039234534,0.098507687,9.0,-0.125796422,-13.0,0.005484685,0.0
7,10.2538395,0.3928740020000001,0.039564122,0.095101081,9.0,-0.12507607,-13.0,0.004070967,0.0
8,10.270819699999999,0.376706183,0.038175952,0.093109563,9.0,-0.127540976,-13.0,0.0078423,0.0
9,10.2614574,0.379207522,0.040845003,0.094289094,9.0,-0.126539931,-13.0,0.004103618,0.0
10,10.280337300000001,0.373459816,0.040273782,0.09105373900000001,9.0,-0.127801016,-13.0,0.005666771,0.0
11,10.2645731,0.361862808,0.03923149,0.095164329,9.0,-0.128769234,-13.0,0.008159501999999999,0.0
12,10.252080900000001,0.37211698299999996,0.042537697,0.096312329,9.0,-0.126736045,-13.0,0.0026968870000000002,0.0
13,10.2799187,0.363503397,0.040131412000000005,0.091845565,9.0,-0.128881171,-13.0,0.00698674,0.0
125794,10.270467800000002,0.352487326,0.039598186,0.09457114300000001,9.0,-0.129881471,-13.0,0.008832999000000001,0.0
